aamiainen	frukost
ahdistus	ångest
aikuinen	vuxna
aivan yksin	helt ensam
aivot	hjärna
Ajattelin aloittaa	Jag tänker börja med att
ajautua ulkopuolelle	hamna
akuutti hoito	akutvård
ala	bransch
alaikäinen	minderårig
alakuloisuus	nedstämdhet
alentunut	nedsatt
aloitekykyinen	initiativrik
Aluksi käsittelen	I början ska jag behandla
ammatillinen perhekoti	professionellt familjehem
ammattikorkeakoulu	yrkeshögskola
ammattikoulu	yrkesskola
ammattiopinnot	yrkesstudier
ansioturva	utkomstskydd
apuväline	hjälpmedel
arki	vardag
arkiset toiminnot	de vardagliga aktiviteterna
arvioida	utvärdera
arviointi	bedömning
arvosana	ett vitsord
asiakaspalvelusanoja	kundetjäningsord
asiakassuunnitelma	klientplan
asiakassuuntautunut	klientorienterad
asiantuntijatehtävä 	sakkunniguppgift
asua	bo
asuinpalvelut	boendetjänster
asukas	invånare
asumispalvelu	boendeservice
asumispalveluyksikön ohjaaja	boendehandledare
asunnoton	bostadslös
asunnottomuus	en bostadslöshet
asunto	en bostad
asuntohakemus	en bostadsansökning
asuntoyhdistys	ett boendeförbund
ateriapalvelu	måltidsservice
avainsanat	nyckelorden
avohuollon tukitoimet	stödåtgärder inom öppenvården
avoihoitopalvelu	öppenvårdstjänst
avulias	hjälpsam
dementiayhdistykset	Demensföreningar
edistää hyvinvointia	främja välbefinnandet
edistää tasa-arvoa	främja jämlikhet
ehkäisevä lastensuojelu	förebyggande barnskydd
ehkäisyväline	preventivmedel
eilen	igår
eläkeläinen	en pensionär
eläkkeellä	pensionerad
eläkkeellä	pensioner
elämän hallinta	kontrol över livet
elämän tarkoitus	mening med livet
empaattinen	empatisk
En ole aivan varma siitä	Jag är inte säker på det
ennaltaehkäisevä	förebyggande
ennaltaehkäisevät palvelut	Förebyggande tjänster
ennen aikaan	förr i världen
ennen aikaan 	förr i världen 
Ensimmäinen kohta käsittelee	Den första punkten handlar om
Ensin kerron	Först ska jag tala
epämukavan työajan korvaus	OB-tillägg
epärealistiset kauneusihanteet	orealistiska skönhetsideal
epäsäännöllinen	oregelbundna
eriasteinen	I olika grad
erikoistunut	specialiserade
erityisopetus	specialundervisning
eronnut	frånskild
esikoulu	förskol
esimies 	föreståndar
esiopetus	förskoleundervisning
esteettömyys	hinderlöshet
etisytyä johonkin	sök
etsivä nuorisotyö	uppsökande ungdomsarbete
etuuksia	förmåner
etäopetus	distansundervisning
freelancetyö	på frilansbasis
geneettiset syyt	genetiska orsaker
haaste	utmaning
hahmottaminen	gestaltning
hakemus	ansökan
hallinnollinen 	administrativ
hallinto-oikeus	förvaltningsdomstolen
Haluan päättää	Jag vill avsluta med att
halukas oppimaan uutta	villig att lära sig nytt
hankkia	skaffa
harjoitella	träna
harjoittaa	bedriva
harrastukset	hobbyer
harrastus	hobby
hauska esimerkki	skojigt exempel 
heikko	svag
heikko puoleni	min svaga sida
henkilö, jolla on paljon ideoita	idérik
henkilökohtainen assistentti	personlig assistant
henkilökunta	personal
henkilökuntaetu	personalrabatt
hermosolut	nervceller
hetkinen tarkastan asian	ett ögonblick jag ska kolla saken
hiihtää	åka skidor
hoito 	vård
Hoito täytyy suunnitella huolellisesti	Vård måste planeras noggrant
hoitokoti	vårdhem
hoitovapaa	vårdledighet
hoivapalvelut	omsorgstjänster
homo	queer
homoseksuaali	Homosexualitet
humalassa	berusad
huolehtia	ta hand om
huolestuneisuus	oro
huoli	oro
huolissaan	orolig
Huoltajat	Vårdnadshavarna
huomaavaisuus	omtänksamhet
huomata	upptäck
huono	dålig
huono itsetunto	dålig självkänsla
huonoin	sämst
huonompi	sämre
huonontua	bli sämre
huonot kotilot	dåliga hemförhållanden
huostaanotto	omhändertagande
huume	drog
huumeet	droger
huumeet	narkotika
huumeidenkäyttäjä	en drogmissbrukare 
hylätty	underkänd
hyvinvointi	välfärd
hyvinvointi	välbefinnande
hyvinvointi	välmående
hyvinvointiyhteiskunta	välfärdssamhälle
hyvä	god
Hyvä että otit esille kysymyksen	Det är bra att du tog upp frågan
hyvä järjestelykyky	god organisationsförmåga
hyvä kuuntelemaan	bra på att lyssna
hyvä yhteistyökyky	god samarbetsförmåga
hyväksikäyttö	utnyttjande
hyväksytty	godkänd
hyvässä kunnossa	i gott skick
hänen tilanteensa on parantunut	Hennes situation har förbättras
hölkkääminen	jogga
ihailu	beundran
ihana	härlig
ihmisarvo	människovärde
ihmissuhteet	människorelationerna
ikä	ålder
ikäryhmä 	åldersgrupp
ilmiö	fenomen
ilmoitusvelvollisuus	anmälningsskyldighet
iltatyö	kvällstid
irtisanottu	uppsagd
itseluottamus	självförtroende
itsemurha	självmord
itsemääräämisoikeus	självbestämmanderätt
itsenäinen	självständig
itseopiskelu	självstudier
itsetuhoinen käytös	självdestruktivt beteende
itsetuhoiset ajatukset	självmordstankar
itsetunto	självkänsla
ja lopuksi	och till sist
ja sitten siirryn	och sedan ska jag gå över till
jalkapallo	fotboll
johtajuuden erikoisammattitutkinto	specialyrkesexamen inom ledarskap
johtava sosiaalityöntekijä	en ledande socialarbetare
jokapäiväistä elämää	vardagen hos
jonkin ympäröimä 	omring
Jos teillä ei ole lisää kysymyksiä  kiitän kiinnostuksesta	Om ni inte har flera frågor tackar jag för intresset
joustava	flexibel
julkinen sektori	offentlig sektor
jumppa	gympa
jälkihuolto	eftervård
jännitys	en spänning
järjestää	anordna
järjestötyöntekijä	organisationsarbetare
jääkiekko	ishockey
Kaikki asiat on hoidettu ajoissa	Alla saker har tagits hand om i tid
karvankasvu	hårväxt
kasvaa	ökar
kasvattaja 	pedagog
kasvatus 	fostran
kasvatusvanhemmat	fosterföräldrar
kasvu	uppväxt
katsoa sarjoja	titta på serier
katsoa telkkaria	titta på TV
kaverisuhteet	kompisrelationer
kaverit	kompisar
kehitys	utveckling 
kehitysvamma	utvecklingsstörning
kehitysvammaisten hoitaja	vårdare av utvecklingshämmade
kehitysvammaistenohjaaja	handledare för funktionshindrade
kehonkuva	kropssbild
kenttäryhmä	fältgrupp
kerjääjä	tiggare
kertoa	berätta
Keskeiset kohdat esityksessä olivat	De centrala punkterna i presentationen var
keskittyminen	koncentration
keskustella	diskutera
keskusteluryhmä	diskussionsgrupp
kestävä	hållbar
kielellinen toiminta	språklig aktivitet
kielikylpy	språkbad
kielitaitoinen	språkkunnig
kieltä tukeva	språkstödande
kiihottaminen	upphetsning
kiinteä palkka	fast lön
kiinteä työaika	fast arbetstid
kiipeän	Jag klättar
kiireellinen sijoitus	brådskande placering
Kiitoksia mielenkiinnostanne	Tack för intresset
kiitos ja tervetuloa uudelleen	tack och välkommen åter
kirjasto	bibliotek
kiusaaminen	mobbning
kiusata	mobba
koe	prov
kohtalainen	måttlig
kokemusta alalta	erfarenhet av bransche
koostua jostakin 	bestå
koripallo	basketboll
koti	hem
kotiavustaja	hemvårdsbiträde
kotipalvelu	hemtjänst
kotipalvelun ohjaaja	handledare inom hemservice
kotisairaanhoito	hemsjukvård
kotitalousvähennys	hushållsavdrag
kotityöt	hushållsarbete
koulu	skola
koulujen loma	lov
koulukuraattori	skolkurator
koulupsykologi	skolpsykolog
koulusosionomi	skolsocionom
kouluterveydenhoitaja	skolhälsovårdare
koulutus	utbilding
koulutusjärjestelmä	utbildningssystem
koulutusohjelma	utbildingsprogram
kriisityöntekijä	krisarbetare
kriminaalihuolto	kriminalvård
kuinka voin auttaa	hur kan jag hjälpa
kuka on lähin omaisenne	vem är er närmaste anhörig
kuljetuspalvelu	färdtjänst
kulttuurisetelit	kultursedlar
kuntayhtymä	samkommun
kuntoilla	motionera
kuntosali	gym
kuntouttavan työtoiminnan ohjaaja	handledare inom rehabiliterande arbetsverksamhet
kuntoutuksenohjaaja	rehabiliteringshandledare
kuntoutus	rehabilitering
kuntoutuslaitos 	en rehabiliteringsinrättning
kuntoutusohjaaja	en rehabiliteringshandledare
kuntoutusosasto	en rehabiliteringsavdelding
kuukausipalkka	månadslön
kuukautiset	menstruation
kuukautiskivut	menstruationskramper
kuulo	hörsel
kuulolaite	hörapparat
kuulovammainen	hörselskadad
kuvakortti	bildkort
kuvataide	bildkonst
kyky	förmåga
kävellä	promenera
käydä elokuvissa	gå på bio
käydä huonosti	råka illa ut
käydä jossakin	besök
